-0,100
-0,520
-2,190
-1,870
-3,170
-4,310
-5,710
-4,420
-4,670
-3,080
-2,340
-0,730
-0,150
-0,050
0,180
0,030
5,290
65,900
124,870
29,870
101,460
125,570
156,660
114,910
142,250
149,660
155,960
149,670
165,800
189,460
208,390
186,150
190,930
171,190
146,110
147,460
148,160
135,470
120,640
125,060
127,970
124,760
114,470
131,380
112,210
115,490
110,010
126,790
125,990
124,320
123,300
119,820
116,670
110,500
112,170
112,900
116,340
110,040
113,140
117,530
111,760
113,430
109,300
107,870
110,120
108,470
109,230
101,950
113,020
119,970
120,750
116,310
133,160
132,850
133,300
132,770
133,520
129,560
124,480
134,170
128,190
121,190
103,330
123,270
118,630
108,740
91,620
101,480
116,490
99,260
92,990
112,040
109,460
106,770
102,380
101,760
91,970
92,560
75,860
94,130
82,730
82,000
88,600
88,320
81,820
84,960
82,420
94,090
102,270
105,640
107,220
101,280
111,380
120,820
132,310
119,700
133,240
142,170
167,980
135,490
148,680
158,900
180,530
159,250
179,420
218,160
282,300
257,970
246,920
226,200
199,780
198,730
177,160
170,070
160,000
162,870
147,800
140,490
135,030
140,300
137,110
131,830
129,750
141,950
134,260
128,890
118,390
137,230
133,930
125,660
124,520
125,640
121,420
122,500
122,850
124,570
121,740
124,490
122,880
124,500
123,920
124,820
125,800
125,110
125,490
122,970
122,160
123,180
124,020
123,660
116,840
121,890
118,210
100,840
